Image Name,Width,Height,Aspect Ratio
img_013978.jpg,139,50,2.78
img_013724.jpg,126,45,2.8
img_003639.jpg,132,48,2.75
img_013078.jpg,129,43,3.0
img_002855.jpg,133,47,2.8297872340425534
img_011396.jpg,90,34,2.6470588235294117
img_011849.jpg,130,48,2.7083333333333335
img_010351.jpg,109,39,2.7948717948717947
img_002064.jpg,115,43,2.6744186046511627
img_014392.jpg,141,48,2.9375
img_000755.jpg,135,45,3.0
img_010573.jpg,89,32,2.78125
img_012404.jpg,126,45,2.8
img_003569.jpg,130,47,2.765957446808511
img_002753.jpg,128,46,2.782608695652174
img_003713.jpg,138,48,2.875
img_000223.jpg,127,47,2.702127659574468
img_014294.jpg,132,45,2.933333333333333
img_000919.jpg,131,47,2.7872340425531914
img_014314.jpg,140,49,2.857142857142857
img_002681.jpg,132,48,2.75
img_000139.jpg,74,28,2.642857142857143
img_001709.jpg,78,29,2.689655172413793
img_003704.jpg,122,41,2.975609756097561
img_011257.jpg,108,42,2.5714285714285716
img_011540.jpg,142,50,2.84
img_001031.jpg,163,60,2.716666666666667
img_001908.jpg,130,47,2.765957446808511
img_002431.jpg,131,49,2.673469387755102
img_001841.jpg,134,50,2.68
img_011592.jpg,140,51,2.7450980392156863
img_013352.jpg,131,43,3.046511627906977
img_010877.jpg,127,45,2.8222222222222224
img_001788.jpg,109,37,2.945945945945946
img_013200.jpg,129,46,2.8043478260869565
img_003156.jpg,128,45,2.8444444444444446
img_011533.jpg,120,42,2.857142857142857
img_004539.jpg,140,51,2.7450980392156863
img_002470.jpg,128,46,2.782608695652174
img_004698.jpg,113,39,2.8974358974358974
img_003668.jpg,126,45,2.8
img_012389.jpg,87,31,2.806451612903226
img_000721.jpg,136,49,2.7755102040816326
img_002291.jpg,126,48,2.625
img_012174.jpg,138,48,2.875
img_014241.jpg,90,33,2.727272727272727
img_000080.jpg,129,44,2.9318181818181817
img_001874.jpg,134,46,2.9130434782608696
img_012226.jpg,131,45,2.911111111111111
img_002336.jpg,129,48,2.6875
img_011709.jpg,114,40,2.85
img_001711.jpg,138,50,2.76
img_013238.jpg,87,32,2.71875
img_010673.jpg,92,33,2.787878787878788
img_011319.jpg,139,48,2.8958333333333335
img_003268.jpg,99,38,2.6052631578947367
img_002062.jpg,132,48,2.75
img_014940.jpg,137,48,2.8541666666666665
img_004622.jpg,142,51,2.784313725490196
img_014119.jpg,134,46,2.9130434782608696
img_004129.jpg,139,50,2.78
img_014093.jpg,139,49,2.836734693877551
img_002505.jpg,129,46,2.8043478260869565
img_011094.jpg,125,46,2.717391304347826
img_004320.jpg,136,48,2.8333333333333335
img_013402.jpg,125,43,2.9069767441860463
img_000361.jpg,130,48,2.7083333333333335
img_003274.jpg,121,45,2.688888888888889
img_003109.jpg,121,46,2.630434782608696
img_012574.jpg,79,29,2.7241379310344827
img_003294.jpg,138,51,2.7058823529411766
img_004365.jpg,126,46,2.739130434782609
img_001311.jpg,134,51,2.627450980392157
img_010301.jpg,134,45,2.977777777777778
img_003945.jpg,140,51,2.7450980392156863
img_001467.jpg,131,53,2.4716981132075473
img_000206.jpg,118,41,2.8780487804878048
img_000306.jpg,125,45,2.7777777777777777
img_014987.jpg,122,43,2.8372093023255816
img_003922.jpg,135,47,2.872340425531915
img_003980.jpg,86,33,2.606060606060606
img_012868.jpg,135,48,2.8125
img_013256.jpg,129,43,3.0
img_014905.jpg,140,48,2.9166666666666665
img_012153.jpg,141,49,2.877551020408163
img_012967.jpg,130,46,2.8260869565217392
img_013178.jpg,114,41,2.7804878048780486
img_013293.jpg,132,48,2.75
img_012137.jpg,66,26,2.5384615384615383
img_001685.jpg,134,52,2.576923076923077
img_012522.jpg,122,40,3.05
img_004995.jpg,134,48,2.7916666666666665
img_000656.jpg,128,46,2.782608695652174
img_011819.jpg,139,49,2.836734693877551
img_011567.jpg,139,50,2.78
img_000724.jpg,124,47,2.6382978723404253
img_012739.jpg,101,38,2.6578947368421053
img_001361.jpg,120,42,2.857142857142857
img_014814.jpg,146,51,2.8627450980392157
img_010818.jpg,129,43,3.0
img_001747.jpg,133,50,2.66
img_004509.jpg,143,51,2.803921568627451
